Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Jonathan Taylor,IND,RB,26,17,0.0,0.0,0.0,0.0,0.0,323.0,1585.0,4.91,18.0,55.0,46.0,378.0,8.22,2.0,2.0,1.0,20,1.0,0.0,362.3,TaylJo02
Christian McCaffrey,SFO,RB,29,17,0.0,1.0,0.0,0.0,0.0,311.0,1202.0,3.86,10.0,129.0,102.0,924.0,9.06,7.0,2.0,0.0,17,0.0,0.0,416.6,McCaCh01
Bijan Robinson,ATL,RB,23,17,0.0,0.0,0.0,0.0,0.0,287.0,1478.0,5.15,7.0,103.0,79.0,820.0,10.38,4.0,4.0,3.0,11,1.0,0.0,370.8,RobiBi01
Jahmyr Gibbs,DET,RB,23,17,0.0,0.0,0.0,0.0,0.0,243.0,1223.0,5.03,13.0,94.0,77.0,616.0,8.0,5.0,2.0,1.0,18,0.0,0.0,366.9,GibbJa01
Puka Nacua,LAR,WR,24,16,0.0,0.0,0.0,0.0,0.0,10.0,105.0,10.5,1.0,166.0,129.0,1715.0,13.29,10.0,1.0,1.0,11,0.0,0.0,375.0,NacuPu00
Jaxon Smith-Njigba,SEA,WR,23,17,0.0,0.0,0.0,0.0,0.0,7.0,36.0,5.14,0.0,163.0,119.0,1793.0,15.07,10.0,3.0,1.0,10,0.0,0.0,359.9,SmitJa06
James Cook,BUF,RB,26,17,0.0,0.0,0.0,0.0,0.0,309.0,1621.0,5.25,12.0,40.0,33.0,291.0,8.82,2.0,6.0,3.0,14,0.0,0.0,302.2,CookJa01
Derrick Henry,BAL,RB,31,17,0.0,1.0,0.0,0.0,0.0,307.0,1595.0,5.2,16.0,21.0,15.0,150.0,10.0,0.0,4.0,3.0,16,0.0,0.0,279.5,HenrDe00
De'Von Achane,MIA,RB,24,16,0.0,0.0,0.0,0.0,0.0,238.0,1350.0,5.67,8.0,85.0,67.0,488.0,7.28,4.0,1.0,0.0,12,0.0,0.0,322.8,AchaDe00
Josh Allen,BUF,QB,29,17,319.0,460.0,3668.0,25.0,10.0,112.0,579.0,5.17,14.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,14,0.0,1.0,364.6,AlleJo02
Amon-Ra St. Brown,DET,WR,26,17,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,172.0,117.0,1401.0,11.97,11.0,1.0,0.0,11,0.0,0.0,324.0,StxxAm00
Trey McBride,ARI,TE,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,126.0,1239.0,9.83,11.0,0.0,0.0,11,0.0,0.0,315.9,McBrTr01
George Pickens,DAL,WR,24,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,93.0,1429.0,15.37,9.0,4.0,0.0,9,1.0,0.0,291.9,PickGe00
Drake Maye,NWE,QB,23,17,354.0,492.0,4394.0,31.0,8.0,103.0,450.0,4.37,4.0,1.0,1.0,2.0,2.0,0.0,8.0,3.0,4,1.0,1.0,352.0,MayeDr00
Matthew Stafford,LAR,QB,37,17,388.0,597.0,4707.0,46.0,8.0,29.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0,0.0,0.0,350.4,StafMa00
Kyren Williams,LAR,RB,25,17,0.0,0.0,0.0,0.0,0.0,259.0,1252.0,4.83,10.0,50.0,36.0,281.0,7.81,3.0,2.0,2.0,13,0.0,0.0,263.3,WillKy02
Ja'Marr Chase,CIN,WR,25,16,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.67,0.0,185.0,125.0,1412.0,11.3,8.0,1.0,1.0,8,0.0,0.0,313.6,ChasJa00
Travis Etienne,JAX,RB,26,17,0.0,0.0,0.0,0.0,0.0,260.0,1107.0,4.26,7.0,52.0,36.0,292.0,8.11,6.0,1.0,0.0,13,0.0,0.0,253.9,EtieTr00
Trevor Lawrence,JAX,QB,26,17,341.0,560.0,4007.0,29.0,12.0,82.0,359.0,4.38,9.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,9,1.0,0.0,338.2,LawrTr00
Chase Brown,CIN,RB,25,17,0.0,0.0,0.0,0.0,0.0,232.0,1019.0,4.39,6.0,88.0,69.0,437.0,6.33,5.0,2.0,0.0,11,1.0,0.0,282.6,BrowCh10
Javonte Williams,DAL,RB,25,16,0.0,0.0,0.0,0.0,0.0,252.0,1201.0,4.77,11.0,51.0,35.0,137.0,3.91,2.0,2.0,2.0,13,0.0,0.0,242.8,WillJa10
Josh Jacobs,GNB,RB,27,15,0.0,0.0,0.0,0.0,0.0,234.0,929.0,3.97,13.0,44.0,36.0,282.0,7.83,1.0,3.0,2.0,14,0.0,0.0,237.1,JacoJo01
Chris Olave,NOR,WR,25,16,0.0,1.0,0.0,0.0,1.0,1.0,-3.0,-3.0,0.0,156.0,100.0,1163.0,11.63,9.0,0.0,0.0,9,0.0,0.0,268.0,OlavCh00
D'Andre Swift,CHI,RB,26,16,0.0,0.0,0.0,0.0,0.0,223.0,1087.0,4.87,9.0,48.0,34.0,299.0,8.79,1.0,2.0,2.0,10,0.0,0.0,228.6,SwifDA00
Saquon Barkley,PHI,RB,28,16,0.0,0.0,0.0,0.0,0.0,280.0,1140.0,4.07,7.0,50.0,37.0,273.0,7.38,2.0,1.0,1.0,9,1.0,0.0,232.3,BarkSa00
Davante Adams,LAR,WR,33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,60.0,789.0,13.15,14.0,0.0,0.0,14,0.0,0.0,222.9,AdamDa01
Caleb Williams,CHI,QB,24,17,330.0,568.0,3942.0,27.0,7.0,77.0,388.0,5.04,3.0,2.0,2.0,22.0,11.0,1.0,9.0,1.0,4,0.0,1.0,318.7,WillCa03
