"games","player","position","team","points","pts_per_attempt","pass_yd_pts","pass_td_pts","rush_yd_pts","rush_td_pts","fumbles"
17,"Josh Allen","QB","BUF","364.60","0.79","146.72","100.00","57.90","84.00","7.00"
17,"Drake Maye","QB","NWE","352.00","0.72","175.76","124.00","45.00","24.00","8.00"
13,"Lamar Jackson","QB","BAL","214.90","0.71","101.96","84.00","34.90","12.00","7.00"
14,"Jaxson Dart","QB","NYG","241.60","0.71","90.88","60.00","48.70","54.00","5.00"
9,"Justin Fields","QB","NYJ","142.70","0.70","50.36","28.00","38.30","24.00","4.00"
16,"Jalen Hurts","QB","PHI","299.10","0.66","128.96","100.00","42.10","48.00","8.00"
9,"Brock Purdy","QB","SFO","177.40","0.62","86.68","80.00","14.70","18.00","3.00"
17,"Trevor Lawrence","QB","JAX","338.20","0.60","160.28","116.00","35.90","54.00","5.00"
13,"Daniel Jones","QB","IND","226.40","0.59","124.04","76.00","16.40","30.00","9.00"
17,"Matthew Stafford","QB","LAR","350.40","0.59","188.28","184.00","0.10","0.00","7.00"
14,"Patrick Mahomes","QB","KAN","285.70","0.57","143.48","88.00","42.20","30.00","3.00"
16,"Justin Herbert","QB","LAC","286.90","0.56","149.08","104.00","49.80","12.00","7.00"
17,"Caleb Williams","QB","CHI","318.70","0.56","157.68","108.00","38.80","18.00","9.00"
11,"Marcus Mariota","QB","WAS","125.50","0.55","67.80","40.00","29.70","6.00","6.00"
15,"Jordan Love","QB","GNB","235.10","0.54","135.24","92.00","19.90","0.00","7.00"
17,"Dak Prescott","QB","DAL","313.80","0.52","182.08","120.00","17.70","12.00","6.00"
10,"J.J. McCarthy","QB","MIN","125.40","0.52","65.28","44.00","18.10","24.00","6.00"
17,"Jared Goff","QB","DET","297.10","0.51","182.56","136.00","4.50","0.00","6.00"
17,"Bo Nix","QB","DEN","304.80","0.50","157.24","100.00","35.60","30.00","4.00"
17,"Baker Mayfield","QB","TAM","271.90","0.50","147.72","104.00","38.20","6.00","11.00"
14,"C.J. Stroud","QB","HOU","208.50","0.49","121.64","76.00","20.90","6.00","2.00"
17,"Sam Darnold","QB","SEA","235.40","0.49","161.92","100.00","9.50","0.00","11.00"
11,"Tyler Shough","QB","NOR","158.00","0.48","95.36","40.00","18.60","18.00","3.00"
14,"Jacoby Brissett","QB","ARI","227.40","0.47","134.64","92.00","16.80","6.00","5.00"
16,"Bryce Young","QB","CAR","218.00","0.46","120.44","92.00","21.60","12.00","7.00"
16,"Aaron Rodgers","QB","PIT","227.10","0.46","132.88","96.00","6.10","6.00","4.00"
9,"Michael Penix","QB","ATL","120.30","0.44","79.28","36.00","7.00","6.00","4.00"
14,"Tua Tagovailoa","QB","MIA","160.70","0.42","106.40","80.00","4.30","0.00","8.00"
15,"Geno Smith","QB","LVR","173.90","0.39","121.00","76.00","10.90","0.00","4.00"
17,"Cam Ward","QB","TEN","186.70","0.35","126.76","60.00","15.90","12.00","11.00"
13,"Joe Flacco","QB","2TM","146.70","0.35","99.16","60.00","3.50","6.00","3.00"
