"games","player","position","team","points","pts_per_attempt","rush_attempts","rush_ypa","rush_yd_pts","rush_td_pts","receptions","rec_yd_pts","rec_td_pts","fumbles"
17,"Christian McCaffrey","RB","SFO","416.60","1.34","311.00","3.86","120.20","60.00","102.00","92.40","42.00","2.00"
17,"Bijan Robinson","RB","ATL","370.80","1.29","287.00","5.15","147.80","42.00","79.00","82.00","24.00","4.00"
17,"Jahmyr Gibbs","RB","DET","366.90","1.51","243.00","5.03","122.30","78.00","77.00","61.60","30.00","2.00"
17,"Jonathan Taylor","RB","IND","362.30","1.12","323.00","4.91","158.50","108.00","46.00","37.80","12.00","2.00"
16,"De'Von Achane","RB","MIA","322.80","1.36","238.00","5.67","135.00","48.00","67.00","48.80","24.00","1.00"
17,"James Cook","RB","BUF","302.20","0.98","309.00","5.25","162.10","72.00","33.00","29.10","12.00","6.00"
17,"Chase Brown","RB","CIN","282.60","1.22","232.00","4.39","101.90","36.00","69.00","43.70","30.00","2.00"
17,"Derrick Henry","RB","BAL","279.50","0.91","307.00","5.20","159.50","96.00","15.00","15.00","0.00","4.00"
17,"Kyren Williams","RB","LAR","263.30","1.02","259.00","4.83","125.20","60.00","36.00","28.10","18.00","2.00"
17,"Travis Etienne","RB","JAX","253.90","0.98","260.00","4.26","110.70","42.00","36.00","29.20","36.00","1.00"
17,"Ashton Jeanty","RB","LVR","245.10","0.92","266.00","3.67","97.50","30.00","55.00","34.60","30.00","2.00"
16,"Javonte Williams","RB","DAL","242.80","0.96","252.00","4.77","120.10","66.00","35.00","13.70","12.00","2.00"
15,"Josh Jacobs","RB","GNB","237.10","1.01","234.00","3.97","92.90","78.00","36.00","28.20","6.00","3.00"
16,"Saquon Barkley","RB","PHI","232.30","0.83","280.00","4.07","114.00","42.00","37.00","27.30","12.00","1.00"
16,"D'Andre Swift","RB","CHI","228.60","1.03","223.00","4.87","108.70","54.00","34.00","29.90","6.00","2.00"
17,"Kenneth Gainwell","RB","PIT","221.30","1.94","114.00","4.71","53.70","30.00","73.00","48.60","18.00","2.00"
16,"Jaylen Warren","RB","PIT","217.10","1.03","211.00","4.54","95.80","36.00","40.00","33.30","12.00","1.00"
17,"Rico Dowdle","RB","CAR","216.30","0.92","236.00","4.56","107.60","36.00","39.00","29.70","6.00","2.00"
16,"Breece Hall","RB","NYJ","207.70","0.85","243.00","4.38","106.50","24.00","36.00","35.00","6.00","2.00"
17,"RJ Harvey","RB","DEN","206.60","1.42","146.00","3.70","54.00","42.00","47.00","35.60","30.00","1.00"
17,"TreVeyon Henderson","RB","NWE","206.20","1.15","180.00","5.06","91.10","54.00","35.00","22.10","6.00","1.00"
17,"Kenneth Walker III","RB","SEA","191.90","0.87","221.00","4.65","102.70","30.00","31.00","28.20","0.00","1.00"
17,"Tony Pollard","RB","TEN","185.80","0.77","242.00","4.47","108.20","30.00","33.00","20.60","0.00","4.00"
16,"Zach Charbonnet","RB","SEA","181.40","0.99","184.00","3.97","73.00","72.00","20.00","14.40","0.00","0.00"
14,"Rhamondre Stevenson","RB","NWE","178.80","1.38","130.00","4.64","60.30","42.00","32.00","34.50","12.00","3.00"
14,"Quinshon Judkins","RB","CLE","169.80","0.74","230.00","3.60","82.70","42.00","26.00","17.10","0.00","0.00"
17,"David Montgomery","RB","DET","166.90","1.06","158.00","4.53","71.60","48.00","24.00","19.20","0.00","2.00"
15,"Tyrone Tracy Jr.","RB","NYG","160.80","0.91","176.00","4.20","74.00","12.00","36.00","28.80","12.00","1.00"
16,"Woody Marks","RB","HOU","151.10","0.77","196.00","3.59","70.30","12.00","24.00","20.80","18.00","1.00"
17,"Kyle Monangai","RB","CHI","146.70","0.87","169.00","4.63","78.30","30.00","18.00","16.40","0.00","0.00"
17,"Kareem Hunt","RB","KAN","145.40","0.89","163.00","3.75","61.10","48.00","18.00","14.30","6.00","2.00"
17,"Rachaad White","RB","TAM","143.00","1.08","132.00","4.33","57.20","24.00","40.00","21.80","0.00","0.00"
17,"Jacory Croskey-Merritt","RB","WAS","140.30","0.80","175.00","4.60","80.50","48.00","9.00","6.80","0.00","4.00"
10,"Bucky Irving","RB","TAM","138.50","0.80","173.00","3.40","58.80","6.00","30.00","27.70","18.00","1.00"
9,"Omarion Hampton","RB","LAC","135.70","1.09","124.00","4.40","54.50","24.00","32.00","19.20","6.00","1.00"
16,"Jordan Mason","RB","MIN","128.90","0.81","159.00","4.77","75.80","36.00","14.00","5.10","0.00","3.00"
15,"Chuba Hubbard","RB","CAR","125.40","0.94","134.00","3.81","51.10","6.00","30.00","22.30","18.00","1.00"
17,"Tyler Allgeier","RB","ATL","123.00","0.86","143.00","3.59","51.40","48.00","14.00","9.60","0.00","0.00"
17,"Blake Corum","RB","LAR","122.20","0.84","145.00","5.14","74.60","36.00","8.00","3.60","0.00","0.00"
12,"Aaron Jones","RB","MIN","118.70","0.90","132.00","4.15","54.80","12.00","28.00","19.90","6.00","2.00"
13,"Kimani Vidal","RB","LAC","117.90","0.76","155.00","4.15","64.30","18.00","16.00","13.60","6.00","1.00"
10,"J.K. Dobbins","RB","DEN","115.90","0.76","153.00","5.05","77.20","24.00","11.00","3.70","0.00","0.00"
13,"Tyjae Spears","RB","TEN","111.70","1.55","72.00","3.93","28.30","12.00","45.00","26.40","0.00","0.00"
11,"Alvin Kamara","RB","NOR","100.70","0.77","131.00","3.60","47.10","6.00","33.00","18.60","0.00","2.00"
17,"Ty Johnson","RB","BUF","100.30","2.01","50.00","4.00","20.00","18.00","24.00","26.30","12.00","1.00"
13,"Michael Carter","RB","ARI","99.00","1.08","92.00","3.62","33.30","6.00","33.00","26.70","0.00","0.00"
17,"Emanuel Wilson","RB","GNB","94.50","0.76","125.00","3.97","49.60","18.00","15.00","9.90","0.00","1.00"
12,"Zonovan Knight","RB","ARI","92.90","1.13","82.00","3.28","26.90","24.00","22.00","16.00","6.00","1.00"
13,"Chris Rodriguez","RB","WAS","92.00","0.82","112.00","4.46","50.00","36.00","3.00","3.00","0.00","0.00"
15,"Bhayshul Tuten","RB","JAX","88.60","1.07","83.00","3.70","30.70","30.00","10.00","7.90","12.00","2.00"
15,"Nick Chubb","RB","HOU","88.30","0.72","122.00","4.15","50.60","18.00","13.00","6.70","0.00","0.00"
15,"Dylan Sampson","RB","CLE","87.60","1.35","65.00","2.69","17.50","0.00","33.00","27.10","12.00","1.00"
13,"Isiah Pacheco","RB","KAN","87.30","0.74","118.00","3.92","46.20","6.00","19.00","10.10","6.00","0.00"
15,"Samaje Perine","RB","CIN","77.90","0.93","84.00","4.55","38.20","18.00","17.00","8.70","0.00","3.00"
16,"Isaiah Davis","RB","NYJ","71.20","1.66","43.00","5.49","23.60","6.00","21.00","18.60","0.00","0.00"
10,"Justice Hill","RB","BAL","65.20","3.62","18.00","5.17","9.30","12.00","21.00","16.90","6.00","1.00"
17,"Brian Robinson Jr.","RB","SFO","62.50","0.68","92.00","4.35","40.00","12.00","8.00","2.50","0.00","0.00"
10,"Devin Neal","RB","NOR","60.00","1.05","57.00","3.61","20.60","12.00","17.00","10.40","0.00","0.00"
17,"Ollie Gordon","RB","MIA","54.10","0.77","70.00","2.84","19.90","18.00","7.00","3.20","6.00","0.00"
17,"Tank Bigsby","RB","2TM","53.80","0.85","63.00","5.65","35.60","12.00","3.00","3.20","0.00","0.00"
10,"Malik Davis","RB","DAL","40.60","0.78","52.00","4.81","25.00","12.00","2.00","1.60","0.00","0.00"
13,"Ameer Abdullah","RB","IND","35.90","2.56","14.00","4.29","6.00","6.00","16.00","9.90","0.00","1.00"
12,"Raheem Mostert","RB","LVR","29.40","1.34","22.00","4.73","10.40","0.00","12.00","7.00","0.00","0.00"
15,"Will Shipley","RB","PHI","17.50","1.25","14.00","3.50","4.90","0.00","9.00","5.60","0.00","1.00"
