"games","player","position","team","points","pts_per_target","targets","receptions","catch_percentage","rec_yd_pts","rec_td_pts","rush_ypa","rush_yd_pts","rush_td_pts","fumbles"
16,"Puka Nacua","WR","LAR","375.00","2.26","166.00","129.00",78,"171.50","60.00","10.50","10.50","6.00","1.00"
17,"Jaxon Smith-Njigba","WR","SEA","359.90","2.21","163.00","119.00",73,"179.30","60.00","5.14","3.60","0.00","3.00"
17,"Amon-Ra St. Brown","WR","DET","324.00","1.88","172.00","117.00",68,"140.10","66.00","3.00","0.90","0.00","1.00"
17,"Trey McBride","TE","ARI","315.90","1.87","169.00","126.00",75,"123.90","66.00","0.00","0.00","0.00","0.00"
16,"Ja'Marr Chase","WR","CIN","313.60","1.70","185.00","125.00",68,"141.20","48.00","4.67","1.40","0.00","1.00"
17,"George Pickens","WR","DAL","291.90","2.13","137.00","93.00",68,"142.90","54.00","0.00","0.00","0.00","4.00"
16,"Chris Olave","WR","NOR","268.00","1.72","156.00","100.00",64,"116.30","54.00","-3.00","-0.30","0.00","0.00"
17,"Zay Flowers","WR","BAL","243.30","2.06","118.00","86.00",73,"121.10","30.00","6.20","6.20","6.00","3.00"
15,"Nico Collins","WR","HOU","226.20","1.89","120.00","71.00",59,"111.70","36.00","7.50","1.50","6.00","1.00"
14,"Davante Adams","WR","LAR","222.90","1.96","114.00","60.00",53,"78.90","84.00","0.00","0.00","0.00","0.00"
17,"Michael Wilson","WR","ARI","220.60","1.75","126.00","78.00",62,"100.60","42.00","0.00","0.00","0.00","0.00"
15,"A.J. Brown","WR","PHI","220.30","1.82","121.00","78.00",64,"100.30","42.00","0.00","0.00","0.00","0.00"
17,"Jameson Williams","WR","DET","219.90","2.16","102.00","65.00",64,"111.70","42.00","2.00","1.20","0.00","0.00"
17,"Courtland Sutton","WR","DEN","219.70","1.77","124.00","74.00",60,"101.70","42.00","0.00","0.00","0.00","0.00"
16,"Wan'Dale Robinson","WR","NYG","217.90","1.56","140.00","92.00",66,"101.40","24.00","1.67","0.50","0.00","1.00"
15,"Tee Higgins","WR","CIN","211.60","2.16","98.00","59.00",60,"84.60","66.00","0.00","0.00","0.00","0.00"
17,"Tetairoa McMillan","WR","CAR","211.40","1.73","122.00","70.00",57,"101.40","42.00","0.00","0.00","0.00","1.00"
17,"Kyle Pitts","TE","ATL","210.80","1.79","118.00","88.00",75,"92.80","30.00","0.00","0.00","0.00","0.00"
17,"Stefon Diggs","WR","NWE","210.30","2.06","102.00","85.00",83,"101.30","24.00","0.00","0.00","0.00","0.00"
17,"Michael Pittman Jr.","WR","IND","202.40","1.82","111.00","80.00",72,"78.40","42.00","0.00","0.00","0.00","0.00"
12,"Drake London","WR","ATL","201.90","1.80","112.00","68.00",61,"91.90","42.00","0.00","0.00","0.00","1.00"
17,"DeVonta Smith","WR","PHI","201.80","1.79","113.00","77.00",68,"100.80","24.00","0.00","0.00","0.00","0.00"
17,"Justin Jefferson","WR","MIN","201.50","1.43","141.00","84.00",60,"104.80","12.00","3.50","0.70","0.00","0.00"
14,"CeeDee Lamb","WR","DAL","200.90","1.72","117.00","75.00",64,"107.70","18.00","2.00","0.20","0.00","0.00"
