Cmp,Att,Yds,TD,Int,-9999
0.0,1.0,0.0,0.0,0.0,McCaCh01
0.0,1.0,0.0,0.0,0.0,HenrDe00
319.0,460.0,3668.0,25.0,10.0,AlleJo02
354.0,492.0,4394.0,31.0,8.0,MayeDr00
388.0,597.0,4707.0,46.0,8.0,StafMa00
341.0,560.0,4007.0,29.0,12.0,LawrTr00
0.0,1.0,0.0,0.0,1.0,OlavCh00
330.0,568.0,3942.0,27.0,7.0,WillCa03
404.0,600.0,4552.0,30.0,10.0,PresDa01
388.0,612.0,3931.0,25.0,11.0,NixxBo00
294.0,454.0,3224.0,25.0,6.0,HurtJa00
393.0,578.0,4564.0,34.0,8.0,GoffJa00
1.0,1.0,4.0,1.0,0.0,HallBr03
340.0,512.0,3727.0,26.0,13.0,HerbJu00
315.0,502.0,3587.0,22.0,11.0,MahoPa00
1.0,1.0,8.0,0.0,0.0,WaddJa00
0.0,1.0,0.0,0.0,0.0,HarvRJ00
0.0,1.0,0.0,0.0,0.0,WarrTy00
1.0,1.0,2.0,1.0,0.0,MoorD.00
343.0,543.0,3693.0,26.0,11.0,MayfBa00
216.0,339.0,2272.0,15.0,5.0,DartJa00
291.0,439.0,3381.0,23.0,6.0,LoveJo03
323.0,477.0,4048.0,25.0,14.0,DarnSa00
315.0,485.0,3366.0,23.0,8.0,BrisJa00
261.0,384.0,3101.0,19.0,8.0,JoneDa05
327.0,498.0,3322.0,24.0,7.0,RodgAa00
304.0,478.0,3011.0,23.0,11.0,YounBr01
192.0,302.0,2549.0,21.0,7.0,JackLa00
273.0,423.0,3041.0,19.0,8.0,StroCJ00
323.0,540.0,3169.0,15.0,7.0,WardCa00
197.0,284.0,2167.0,20.0,10.0,PurdBr00
302.0,448.0,3025.0,19.0,17.0,SmitGe00
260.0,384.0,2660.0,20.0,15.0,TagoTu00
221.0,327.0,2384.0,10.0,6.0,ShouTy00
251.0,416.0,2479.0,15.0,10.0,FlacJo00
128.0,204.0,1259.0,7.0,1.0,FielJu00
1.0,2.0,3.0,1.0,0.0,MontDa01
173.0,259.0,1809.0,17.0,5.0,BurrJo01
201.0,289.0,2151.0,13.0,6.0,JoneMa05
139.0,227.0,1695.0,10.0,7.0,MariMa01
140.0,243.0,1632.0,11.0,12.0,McCaJJ00
166.0,276.0,1982.0,9.0,3.0,PeniMi00
114.0,188.0,1262.0,8.0,3.0,DaniJa02
166.0,269.0,1721.0,10.0,5.0,CousKi00
174.0,257.0,1586.0,8.0,5.0,RattSp00
120.0,212.0,1400.0,7.0,10.0,SandSh00
110.0,161.0,962.0,6.0,3.0,MurrKy00
110.0,185.0,937.0,7.0,2.0,GabrDi00
110.0,169.0,1216.0,6.0,5.0,WentCa00
0.0,1.0,0.0,0.0,1.0,KuppCo00
91.0,159.0,915.0,5.0,1.0,MillDa02
80.0,134.0,779.0,5.0,5.0,TaylTy00
30.0,35.0,422.0,3.0,0.0,WillMa12
69.0,119.0,831.0,3.0,3.0,WilsRu00
81.0,125.0,771.0,6.0,8.0,BrowJa08
0.0,1.0,0.0,0.0,0.0,KmetCo00
37.0,66.0,567.0,2.0,2.0,WinsJa00
52.0,67.0,426.0,2.0,0.0,HuntTy01
0.0,1.0,0.0,0.0,0.0,WillIs03
55.0,83.0,622.0,3.0,3.0,EwerQu00
58.0,92.0,544.0,4.0,3.0,RivePh00
2.0,6.0,57.0,1.0,0.0,HillTa00
25.0,35.0,313.0,4.0,0.0,TrubMi00
39.0,67.0,415.0,2.0,3.0,LeonRi02
88.0,153.0,739.0,2.0,7.0,CookBr03
34.0,54.0,372.0,1.0,2.0,JohnJo05
1.0,2.0,33.0,1.0,0.0,OlszGu00
38.0,52.0,310.0,2.0,2.0,RudoMa00
27.0,57.0,226.0,0.0,1.0,LancTr00
24.0,43.0,274.0,1.0,1.0,McKeTa01
35.0,55.0,235.0,1.0,0.0,OladCh00
25.0,37.0,293.0,1.0,1.0,DaltAn00
15.0,24.0,183.0,1.0,2.0,MiltJo00
28.0,45.0,188.0,1.0,2.0,PickKe00
1.0,1.0,32.0,1.0,0.0,AkerCa00
10.0,22.0,102.0,0.0,0.0,OConAi00
47.0,71.0,328.0,0.0,4.0,BrosMa00
7.0,14.0,88.0,0.0,0.0,BuecSh00
3.0,4.0,47.0,0.0,0.0,BageTy00
8.0,15.0,62.0,0.0,0.0,BridTe00
7.0,10.0,65.0,0.0,0.0,DobbJo00
34.0,52.0,303.0,0.0,4.0,RushCo00
7.0,15.0,42.0,0.0,1.0,TuneCl00
17.0,30.0,72.0,0.0,1.0,AlleBr00
1.0,2.0,9.0,0.0,0.0,RichAn03
6.0,11.0,32.0,0.0,0.0,WilsZa00
0.0,2.0,0.0,0.0,0.0,AlleKy00
2.0,3.0,15.0,0.0,0.0,LockDr00
6.0,13.0,37.0,0.0,1.0,MinsGa00
3.0,3.0,19.0,0.0,0.0,MullNi00
1.0,2.0,-2.0,0.0,0.0,SlovKe00
