"games","player","team","fumbles","pts_per_attempt","fnt_ppr","fnt_pass_yds","fnt_pass_tds","fnt_rush_yds","fnt_rush_tds"
17,"Josh Allen","BUF","7.00","0.79","364.60","146.72","100.00","57.90","84.00"
17,"Drake Maye","NWE","8.00","0.72","352.00","175.76","124.00","45.00","24.00"
13,"Lamar Jackson","BAL","7.00","0.71","214.90","101.96","84.00","34.90","12.00"
14,"Jaxson Dart","NYG","5.00","0.71","241.60","90.88","60.00","48.70","54.00"
9,"Justin Fields","NYJ","4.00","0.70","142.70","50.36","28.00","38.30","24.00"
16,"Jalen Hurts","PHI","8.00","0.66","299.10","128.96","100.00","42.10","48.00"
9,"Brock Purdy","SFO","3.00","0.62","177.40","86.68","80.00","14.70","18.00"
17,"Trevor Lawrence","JAX","5.00","0.60","338.20","160.28","116.00","35.90","54.00"
13,"Daniel Jones","IND","9.00","0.59","226.40","124.04","76.00","16.40","30.00"
17,"Matthew Stafford","LAR","7.00","0.59","350.40","188.28","184.00","0.10","0.00"
14,"Patrick Mahomes","KAN","3.00","0.57","285.70","143.48","88.00","42.20","30.00"
16,"Justin Herbert","LAC","7.00","0.56","286.90","149.08","104.00","49.80","12.00"
17,"Caleb Williams","CHI","9.00","0.56","318.70","157.68","108.00","38.80","18.00"
11,"Marcus Mariota","WAS","6.00","0.55","125.50","67.80","40.00","29.70","6.00"
15,"Jordan Love","GNB","7.00","0.54","235.10","135.24","92.00","19.90","0.00"
17,"Dak Prescott","DAL","6.00","0.52","313.80","182.08","120.00","17.70","12.00"
10,"J.J. McCarthy","MIN","6.00","0.52","125.40","65.28","44.00","18.10","24.00"
17,"Jared Goff","DET","6.00","0.51","297.10","182.56","136.00","4.50","0.00"
17,"Bo Nix","DEN","4.00","0.50","304.80","157.24","100.00","35.60","30.00"
17,"Baker Mayfield","TAM","11.00","0.50","271.90","147.72","104.00","38.20","6.00"
14,"C.J. Stroud","HOU","2.00","0.49","208.50","121.64","76.00","20.90","6.00"
17,"Sam Darnold","SEA","11.00","0.49","235.40","161.92","100.00","9.50","0.00"
11,"Tyler Shough","NOR","3.00","0.48","158.00","95.36","40.00","18.60","18.00"
14,"Jacoby Brissett","ARI","5.00","0.47","227.40","134.64","92.00","16.80","6.00"
16,"Bryce Young","CAR","7.00","0.46","218.00","120.44","92.00","21.60","12.00"
16,"Aaron Rodgers","PIT","4.00","0.46","227.10","132.88","96.00","6.10","6.00"
9,"Michael Penix","ATL","4.00","0.44","120.30","79.28","36.00","7.00","6.00"
14,"Tua Tagovailoa","MIA","8.00","0.42","160.70","106.40","80.00","4.30","0.00"
15,"Geno Smith","LVR","4.00","0.39","173.90","121.00","76.00","10.90","0.00"
17,"Cam Ward","TEN","11.00","0.35","186.70","126.76","60.00","15.90","12.00"
13,"Joe Flacco","2TM","3.00","0.35","146.70","99.16","60.00","3.50","6.00"
