"player","position","games","rush_attempts","rush_ypa","rush_yd_pts","rush_td_pts","receptions","rec_yd_pts","rec_td_pts","fumbles","fnt_ppr"
"Christian McCaffrey","RB",17,"311.00","3.86","120.20","60.00","102.00","92.40","42.00","2.00","416.600"
"Bijan Robinson","RB",17,"287.00","5.15","147.80","42.00","79.00","82.00","24.00","4.00","370.800"
"Jahmyr Gibbs","RB",17,"243.00","5.03","122.30","78.00","77.00","61.60","30.00","2.00","366.900"
"Jonathan Taylor","RB",17,"323.00","4.91","158.50","108.00","46.00","37.80","12.00","2.00","362.300"
"De'Von Achane","RB",16,"238.00","5.67","135.00","48.00","67.00","48.80","24.00","1.00","322.800"
"James Cook","RB",17,"309.00","5.25","162.10","72.00","33.00","29.10","12.00","6.00","302.200"
"Chase Brown","RB",17,"232.00","4.39","101.90","36.00","69.00","43.70","30.00","2.00","282.600"
"Derrick Henry","RB",17,"307.00","5.20","159.50","96.00","15.00","15.00","0.00","4.00","279.500"
"Kyren Williams","RB",17,"259.00","4.83","125.20","60.00","36.00","28.10","18.00","2.00","263.300"
"Travis Etienne","RB",17,"260.00","4.26","110.70","42.00","36.00","29.20","36.00","1.00","253.900"
"Ashton Jeanty","RB",17,"266.00","3.67","97.50","30.00","55.00","34.60","30.00","2.00","245.100"
"Javonte Williams","RB",16,"252.00","4.77","120.10","66.00","35.00","13.70","12.00","2.00","242.800"
"Josh Jacobs","RB",15,"234.00","3.97","92.90","78.00","36.00","28.20","6.00","3.00","237.100"
"Saquon Barkley","RB",16,"280.00","4.07","114.00","42.00","37.00","27.30","12.00","1.00","232.300"
"D'Andre Swift","RB",16,"223.00","4.87","108.70","54.00","34.00","29.90","6.00","2.00","228.600"
"Kenneth Gainwell","RB",17,"114.00","4.71","53.70","30.00","73.00","48.60","18.00","2.00","221.300"
"Jaylen Warren","RB",16,"211.00","4.54","95.80","36.00","40.00","33.30","12.00","1.00","217.100"
"Rico Dowdle","RB",17,"236.00","4.56","107.60","36.00","39.00","29.70","6.00","2.00","216.300"
"Breece Hall","RB",16,"243.00","4.38","106.50","24.00","36.00","35.00","6.00","2.00","207.700"
"RJ Harvey","RB",17,"146.00","3.70","54.00","42.00","47.00","35.60","30.00","1.00","206.600"
"TreVeyon Henderson","RB",17,"180.00","5.06","91.10","54.00","35.00","22.10","6.00","1.00","206.200"
"Kenneth Walker III","RB",17,"221.00","4.65","102.70","30.00","31.00","28.20","0.00","1.00","191.900"
"Tony Pollard","RB",17,"242.00","4.47","108.20","30.00","33.00","20.60","0.00","4.00","185.800"
"Zach Charbonnet","RB",16,"184.00","3.97","73.00","72.00","20.00","14.40","0.00","0.00","181.400"
"Rhamondre Stevenson","RB",14,"130.00","4.64","60.30","42.00","32.00","34.50","12.00","3.00","178.800"
"Quinshon Judkins","RB",14,"230.00","3.60","82.70","42.00","26.00","17.10","0.00","0.00","169.800"
"David Montgomery","RB",17,"158.00","4.53","71.60","48.00","24.00","19.20","0.00","2.00","166.900"
"Tyrone Tracy Jr.","RB",15,"176.00","4.20","74.00","12.00","36.00","28.80","12.00","1.00","160.800"
"Woody Marks","RB",16,"196.00","3.59","70.30","12.00","24.00","20.80","18.00","1.00","151.100"
"Kyle Monangai","RB",17,"169.00","4.63","78.30","30.00","18.00","16.40","0.00","0.00","146.700"
"Kareem Hunt","RB",17,"163.00","3.75","61.10","48.00","18.00","14.30","6.00","2.00","145.400"
"Rachaad White","RB",17,"132.00","4.33","57.20","24.00","40.00","21.80","0.00","0.00","143.000"
"Jacory Croskey-Merritt","RB",17,"175.00","4.60","80.50","48.00","9.00","6.80","0.00","4.00","140.300"
"Bucky Irving","RB",10,"173.00","3.40","58.80","6.00","30.00","27.70","18.00","1.00","138.500"
"Omarion Hampton","RB",9,"124.00","4.40","54.50","24.00","32.00","19.20","6.00","1.00","135.700"
"Jordan Mason","RB",16,"159.00","4.77","75.80","36.00","14.00","5.10","0.00","3.00","128.900"
"Chuba Hubbard","RB",15,"134.00","3.81","51.10","6.00","30.00","22.30","18.00","1.00","125.400"
"Tyler Allgeier","RB",17,"143.00","3.59","51.40","48.00","14.00","9.60","0.00","0.00","123.000"
"Blake Corum","RB",17,"145.00","5.14","74.60","36.00","8.00","3.60","0.00","0.00","122.200"
"Aaron Jones","RB",12,"132.00","4.15","54.80","12.00","28.00","19.90","6.00","2.00","118.700"
"Kimani Vidal","RB",13,"155.00","4.15","64.30","18.00","16.00","13.60","6.00","1.00","117.900"
"J.K. Dobbins","RB",10,"153.00","5.05","77.20","24.00","11.00","3.70","0.00","0.00","115.900"
"Tyjae Spears","RB",13,"72.00","3.93","28.30","12.00","45.00","26.40","0.00","0.00","111.700"
"Alvin Kamara","RB",11,"131.00","3.60","47.10","6.00","33.00","18.60","0.00","2.00","100.700"
"Ty Johnson","RB",17,"50.00","4.00","20.00","18.00","24.00","26.30","12.00","1.00","100.300"
"Michael Carter","RB",13,"92.00","3.62","33.30","6.00","33.00","26.70","0.00","0.00","99.000"
"Emanuel Wilson","RB",17,"125.00","3.97","49.60","18.00","15.00","9.90","0.00","1.00","94.500"
"Zonovan Knight","RB",12,"82.00","3.28","26.90","24.00","22.00","16.00","6.00","1.00","92.900"
"Chris Rodriguez","RB",13,"112.00","4.46","50.00","36.00","3.00","3.00","0.00","0.00","92.000"
"Bhayshul Tuten","RB",15,"83.00","3.70","30.70","30.00","10.00","7.90","12.00","2.00","88.600"
"Nick Chubb","RB",15,"122.00","4.15","50.60","18.00","13.00","6.70","0.00","0.00","88.300"
"Dylan Sampson","RB",15,"65.00","2.69","17.50","0.00","33.00","27.10","12.00","1.00","87.600"
"Isiah Pacheco","RB",13,"118.00","3.92","46.20","6.00","19.00","10.10","6.00","0.00","87.300"
"Samaje Perine","RB",15,"84.00","4.55","38.20","18.00","17.00","8.70","0.00","3.00","77.900"
"Isaiah Davis","RB",16,"43.00","5.49","23.60","6.00","21.00","18.60","0.00","0.00","71.200"
"Justice Hill","RB",10,"18.00","5.17","9.30","12.00","21.00","16.90","6.00","1.00","65.200"
"Brian Robinson Jr.","RB",17,"92.00","4.35","40.00","12.00","8.00","2.50","0.00","0.00","62.500"
"Devin Neal","RB",10,"57.00","3.61","20.60","12.00","17.00","10.40","0.00","0.00","60.000"
"Ollie Gordon","RB",17,"70.00","2.84","19.90","18.00","7.00","3.20","6.00","0.00","54.100"
"Tank Bigsby","RB",17,"63.00","5.65","35.60","12.00","3.00","3.20","0.00","0.00","53.800"
"Malik Davis","RB",10,"52.00","4.81","25.00","12.00","2.00","1.60","0.00","0.00","40.600"
"Ameer Abdullah","RB",13,"14.00","4.29","6.00","6.00","16.00","9.90","0.00","1.00","35.900"
"Raheem Mostert","RB",12,"22.00","4.73","10.40","0.00","12.00","7.00","0.00","0.00","29.400"
"Will Shipley","RB",15,"14.00","3.50","4.90","0.00","9.00","5.60","0.00","1.00","17.500"
