Tgt_rec,Rec,Yds_rec,Y/R,TD_rec,player_id
55.0,46.0,378.0,8.22,2.0,TaylJo02
129.0,102.0,924.0,9.06,7.0,McCaCh01
103.0,79.0,820.0,10.38,4.0,RobiBi01
94.0,77.0,616.0,8.0,5.0,GibbJa01
166.0,129.0,1715.0,13.29,10.0,NacuPu00
163.0,119.0,1793.0,15.07,10.0,SmitJa06
40.0,33.0,291.0,8.82,2.0,CookJa01
21.0,15.0,150.0,10.0,0.0,HenrDe00
85.0,67.0,488.0,7.28,4.0,AchaDe00
172.0,117.0,1401.0,11.97,11.0,StxxAm00
169.0,126.0,1239.0,9.83,11.0,McBrTr01
137.0,93.0,1429.0,15.37,9.0,PickGe00
1.0,1.0,2.0,2.0,0.0,MayeDr00
50.0,36.0,281.0,7.81,3.0,WillKy02
185.0,125.0,1412.0,11.3,8.0,ChasJa00
52.0,36.0,292.0,8.11,6.0,EtieTr00
88.0,69.0,437.0,6.33,5.0,BrowCh10
51.0,35.0,137.0,3.91,2.0,WillJa10
44.0,36.0,282.0,7.83,1.0,JacoJo01
156.0,100.0,1163.0,11.63,9.0,OlavCh00
48.0,34.0,299.0,8.79,1.0,SwifDA00
50.0,37.0,273.0,7.38,2.0,BarkSa00
114.0,60.0,789.0,13.15,14.0,AdamDa01
2.0,2.0,22.0,11.0,1.0,WillCa03
73.0,55.0,346.0,6.29,5.0,JeanAs00
118.0,86.0,1211.0,14.08,5.0,FlowZa00
120.0,71.0,1117.0,15.73,6.0,CollNi00
102.0,65.0,1117.0,17.18,7.0,WillJa11
98.0,59.0,846.0,14.34,11.0,HiggTe00
1.0,0.0,0.0,0.0,0.0,NixxBo00
50.0,39.0,297.0,7.62,1.0,DowdRi01
45.0,40.0,333.0,8.33,2.0,WarrJa01
124.0,74.0,1017.0,13.74,7.0,SuttCo00
126.0,78.0,1006.0,12.9,7.0,WilsMi02
121.0,78.0,1003.0,12.86,7.0,BrowAJ00
48.0,36.0,350.0,9.72,1.0,HallBr03
42.0,35.0,221.0,6.31,1.0,HendTr02
122.0,70.0,1014.0,14.49,7.0,McMiTe00
82.0,60.0,591.0,9.85,11.0,GoedDa00
118.0,88.0,928.0,10.55,5.0,PittKy00
84.0,47.0,1003.0,21.34,6.0,PierAl00
112.0,68.0,919.0,13.51,7.0,LondDr00
87.0,60.0,768.0,12.8,7.0,HenrHu00
127.0,63.0,938.0,14.89,6.0,EgbuEm01
108.0,76.0,851.0,11.2,5.0,KelcTr00
1.0,1.0,-10.0,-10.0,0.0,MahoPa00
24.0,20.0,144.0,7.2,0.0,CharZa00
36.0,31.0,282.0,9.1,0.0,WalkKe00
100.0,64.0,910.0,14.22,6.0,WaddJa00
58.0,47.0,356.0,7.57,5.0,HarvRJ00
107.0,72.0,731.0,10.15,6.0,FannHa00
99.0,59.0,850.0,14.41,6.0,MetcDK00
95.0,58.0,847.0,14.6,5.0,WashPa01
112.0,76.0,817.0,10.75,4.0,WarrTy00
86.0,64.0,680.0,10.63,7.0,BoweBr01
117.0,75.0,1077.0,14.36,3.0,LambCe00
140.0,92.0,1014.0,11.02,4.0,RobiWa01
102.0,85.0,1013.0,11.92,4.0,DiggSt00
113.0,77.0,1008.0,13.09,4.0,SmitDe07
111.0,80.0,784.0,9.8,7.0,PittMi01
41.0,33.0,206.0,6.24,0.0,PollTo00
82.0,58.0,713.0,12.29,6.0,LoveCo00
84.0,51.0,735.0,14.41,8.0,JohnQu02
85.0,50.0,682.0,13.64,6.0,MoorD.00
102.0,82.0,600.0,7.32,8.0,FergJa00
69.0,57.0,628.0,11.02,7.0,KittGe00
90.0,55.0,643.0,11.69,9.0,JennJa00
1.0,1.0,-9.0,-9.0,0.0,RodgAa00
85.0,73.0,486.0,6.66,3.0,GainKe00
37.0,32.0,345.0,10.78,2.0,StevRh00
36.0,26.0,171.0,6.58,0.0,JudkQu00
1.0,0.0,0.0,0.0,0.0,FielJu00
29.0,24.0,192.0,8.0,0.0,MontDa01
13.0,9.0,68.0,7.56,0.0,CrosJa00
30.0,18.0,164.0,9.11,0.0,MonaKy00
25.0,18.0,143.0,7.94,1.0,HuntKa00
36.0,24.0,208.0,8.67,3.0,MarkWo00
48.0,36.0,288.0,8.0,2.0,TracTy00
141.0,84.0,1048.0,12.48,2.0,JeffJu00
99.0,72.0,727.0,10.1,5.0,SamuDe00
16.0,14.0,51.0,3.64,0.0,MasoJo00
106.0,66.0,789.0,11.95,6.0,McCoLa00
14.0,8.0,36.0,4.5,0.0,CoruBl00
104.0,65.0,709.0,10.91,6.0,FranTr00
