"player","position","games","targets","receptions","catch_percentage","rec_yd_pts","rec_td_pts","rush_ypa","rush_yd_pts","rush_td_pts","fumbles","fnt_ppr"
"Puka Nacua","WR",16,"166.00","129.00",78,"171.50","60.00","10.50","10.50","6.00","1.00","375.000"
"Jaxon Smith-Njigba","WR",17,"163.00","119.00",73,"179.30","60.00","5.14","3.60","0.00","3.00","359.900"
"Amon-Ra St. Brown","WR",17,"172.00","117.00",68,"140.10","66.00","3.00","0.90","0.00","1.00","324.000"
"Ja'Marr Chase","WR",16,"185.00","125.00",68,"141.20","48.00","4.67","1.40","0.00","1.00","313.600"
"George Pickens","WR",17,"137.00","93.00",68,"142.90","54.00","0.00","0.00","0.00","4.00","291.900"
"Chris Olave","WR",16,"156.00","100.00",64,"116.30","54.00","-3.00","-0.30","0.00","0.00","268.000"
"Zay Flowers","WR",17,"118.00","86.00",73,"121.10","30.00","6.20","6.20","6.00","3.00","243.300"
"Nico Collins","WR",15,"120.00","71.00",59,"111.70","36.00","7.50","1.50","6.00","1.00","226.200"
"Davante Adams","WR",14,"114.00","60.00",53,"78.90","84.00","0.00","0.00","0.00","0.00","222.900"
"Michael Wilson","WR",17,"126.00","78.00",62,"100.60","42.00","0.00","0.00","0.00","0.00","220.600"
"A.J. Brown","WR",15,"121.00","78.00",64,"100.30","42.00","0.00","0.00","0.00","0.00","220.300"
"Jameson Williams","WR",17,"102.00","65.00",64,"111.70","42.00","2.00","1.20","0.00","0.00","219.900"
"Courtland Sutton","WR",17,"124.00","74.00",60,"101.70","42.00","0.00","0.00","0.00","0.00","219.700"
"Wan'Dale Robinson","WR",16,"140.00","92.00",66,"101.40","24.00","1.67","0.50","0.00","1.00","217.900"
"Tee Higgins","WR",15,"98.00","59.00",60,"84.60","66.00","0.00","0.00","0.00","0.00","211.600"
"Tetairoa McMillan","WR",17,"122.00","70.00",57,"101.40","42.00","0.00","0.00","0.00","1.00","211.400"
"Stefon Diggs","WR",17,"102.00","85.00",83,"101.30","24.00","0.00","0.00","0.00","0.00","210.300"
"Michael Pittman Jr.","WR",17,"111.00","80.00",72,"78.40","42.00","0.00","0.00","0.00","0.00","202.400"
"Drake London","WR",12,"112.00","68.00",61,"91.90","42.00","0.00","0.00","0.00","1.00","201.900"
"DeVonta Smith","WR",17,"113.00","77.00",68,"100.80","24.00","0.00","0.00","0.00","0.00","201.800"
"Justin Jefferson","WR",17,"141.00","84.00",60,"104.80","12.00","3.50","0.70","0.00","0.00","201.500"
