Player,Tm,FantPos,Age,G,player_id
Jonathan Taylor,IND,RB,26,17,TaylJo02
Christian McCaffrey,SFO,RB,29,17,McCaCh01
Bijan Robinson,ATL,RB,23,17,RobiBi01
Jahmyr Gibbs,DET,RB,23,17,GibbJa01
Puka Nacua,LAR,WR,24,16,NacuPu00
Jaxon Smith-Njigba,SEA,WR,23,17,SmitJa06
James Cook,BUF,RB,26,17,CookJa01
Derrick Henry,BAL,RB,31,17,HenrDe00
De'Von Achane,MIA,RB,24,16,AchaDe00
Josh Allen,BUF,QB,29,17,AlleJo02
Amon-Ra St. Brown,DET,WR,26,17,StxxAm00
Trey McBride,ARI,TE,26,17,McBrTr01
George Pickens,DAL,WR,24,17,PickGe00
Drake Maye,NWE,QB,23,17,MayeDr00
Matthew Stafford,LAR,QB,37,17,StafMa00
Kyren Williams,LAR,RB,25,17,WillKy02
Ja'Marr Chase,CIN,WR,25,16,ChasJa00
Travis Etienne,JAX,RB,26,17,EtieTr00
Trevor Lawrence,JAX,QB,26,17,LawrTr00
Chase Brown,CIN,RB,25,17,BrowCh10
Javonte Williams,DAL,RB,25,16,WillJa10
Josh Jacobs,GNB,RB,27,15,JacoJo01
Chris Olave,NOR,WR,25,16,OlavCh00
D'Andre Swift,CHI,RB,26,16,SwifDA00
Saquon Barkley,PHI,RB,28,16,BarkSa00
Davante Adams,LAR,WR,33,14,AdamDa01
Caleb Williams,CHI,QB,24,17,WillCa03
Dak Prescott,DAL,QB,32,17,PresDa01
Ashton Jeanty,LVR,RB,22,17,JeanAs00
Zay Flowers,BAL,WR,25,17,FlowZa00
Nico Collins,HOU,WR,26,15,CollNi00
Jameson Williams,DET,WR,24,17,WillJa11
Tee Higgins,CIN,WR,26,15,HiggTe00
Bo Nix,DEN,QB,25,17,NixxBo00
Rico Dowdle,CAR,RB,27,17,DowdRi01
Jaylen Warren,PIT,RB,27,16,WarrJa01
Courtland Sutton,DEN,WR,30,17,SuttCo00
Jalen Hurts,PHI,QB,27,16,HurtJa00
Jared Goff,DET,QB,31,17,GoffJa00
Michael Wilson,ARI,WR,25,17,WilsMi02
A.J. Brown,PHI,WR,28,15,BrowAJ00
Breece Hall,NYJ,RB,24,16,HallBr03
TreVeyon Henderson,NWE,RB,23,17,HendTr02
Tetairoa McMillan,CAR,WR,22,17,McMiTe00
Dallas Goedert,PHI,TE,30,15,GoedDa00
Kyle Pitts,ATL,TE,25,17,PittKy00
Alec Pierce,IND,WR,25,15,PierAl00
Drake London,ATL,WR,24,12,LondDr00
Hunter Henry,NWE,TE,31,17,HenrHu00
Justin Herbert,LAC,QB,27,16,HerbJu00
Emeka Egbuka,TAM,WR,23,17,EgbuEm01
Travis Kelce,KAN,TE,36,17,KelcTr00
Patrick Mahomes,KAN,QB,30,14,MahoPa00
Zach Charbonnet,SEA,RB,24,16,CharZa00
Kenneth Walker III,SEA,RB,25,17,WalkKe00
Jaylen Waddle,MIA,WR,27,16,WaddJa00
RJ Harvey,DEN,RB,24,17,HarvRJ00
Harold Fannin,CLE,TE,21,16,FannHa00
D.K. Metcalf,PIT,WR,28,15,MetcDK00
Parker Washington,JAX,WR,23,16,WashPa01
Tyler Warren,IND,TE,23,17,WarrTy00
Brock Bowers,LVR,TE,23,12,BoweBr01
CeeDee Lamb,DAL,WR,26,14,LambCe00
Wan'Dale Robinson,NYG,WR,24,16,RobiWa01
Stefon Diggs,NWE,WR,32,17,DiggSt00
DeVonta Smith,PHI,WR,27,17,SmitDe07
Michael Pittman Jr.,IND,WR,28,17,PittMi01
Tony Pollard,TEN,RB,28,17,PollTo00
Colston Loveland,CHI,TE,21,16,LoveCo00
Quentin Johnston,LAC,WR,24,14,JohnQu02
D.J. Moore,CHI,WR,28,17,MoorD.00
Jake Ferguson,DAL,TE,26,17,FergJa00
George Kittle,SFO,TE,32,11,KittGe00
Jauan Jennings,SFO,WR,28,15,JennJa00
Baker Mayfield,TAM,QB,30,17,MayfBa00
Jaxson Dart,NYG,QB,22,14,DartJa00
Jordan Love,GNB,QB,27,15,LoveJo03
Sam Darnold,SEA,QB,28,17,DarnSa00
Jacoby Brissett,ARI,QB,33,14,BrisJa00
Daniel Jones,IND,QB,28,13,JoneDa05
Aaron Rodgers,PIT,QB,42,16,RodgAa00
Bryce Young,CAR,QB,24,16,YounBr01
Lamar Jackson,BAL,QB,28,13,JackLa00
C.J. Stroud,HOU,QB,24,14,StroCJ00
Cam Ward,TEN,QB,23,17,WardCa00
Brock Purdy,SFO,QB,26,9,PurdBr00
Geno Smith,LVR,QB,35,15,SmitGe00
Tua Tagovailoa,MIA,QB,27,14,TagoTu00
Tyler Shough,NOR,QB,26,11,ShouTy00
Kenneth Gainwell,PIT,RB,26,17,GainKe00
Joe Flacco,2TM,QB,40,13,FlacJo00
Rhamondre Stevenson,NWE,RB,27,14,StevRh00
Quinshon Judkins,CLE,RB,22,14,JudkQu00
Justin Fields,NYJ,QB,26,9,FielJu00
David Montgomery,DET,RB,28,17,MontDa01
Joe Burrow,CIN,QB,29,8,BurrJo01
Jacory Croskey-Merritt,WAS,RB,24,17,CrosJa00
Mac Jones,SFO,QB,27,11,JoneMa05
Kyle Monangai,CHI,RB,23,17,MonaKy00
Kareem Hunt,KAN,RB,30,17,HuntKa00
Woody Marks,HOU,RB,25,16,MarkWo00
Marcus Mariota,WAS,QB,32,11,MariMa01
J.J. McCarthy,MIN,QB,22,10,McCaJJ00
Tyrone Tracy Jr.,NYG,RB,26,15,TracTy00
Michael Penix,ATL,QB,25,9,PeniMi00
Justin Jefferson,MIN,WR,26,17,JeffJu00
Deebo Samuel,WAS,WR,29,16,SamuDe00
Jordan Mason,MIN,RB,26,16,MasoJo00
Ladd McConkey,LAC,WR,24,16,McCoLa00
Blake Corum,LAR,RB,25,17,CoruBl00
Jayden Daniels,WAS,QB,25,7,DaniJa02
Troy Franklin,DEN,WR,22,17,FranTr00
Romeo Doubs,GNB,WR,25,16,DoubRo00
Tyler Allgeier,ATL,RB,25,17,AllgTy00
Bucky Irving,TAM,RB,23,10,IrviBu00
J.K. Dobbins,DEN,RB,27,10,DobbJK00
Tre Tucker,LVR,WR,24,17,TuckTr00
Kirk Cousins,ATL,QB,37,10,CousKi00
Omarion Hampton,LAC,RB,22,9,HampOm00
Cam Skattebo,NYG,RB,23,8,SkatCa00
Juwan Johnson,NOR,TE,29,17,JohnJu02
Rachaad White,TAM,RB,26,17,WhitRa01
Keenan Allen,LAC,WR,33,17,AlleKe00
Rome Odunze,CHI,WR,23,12,OdunRo00
Kimani Vidal,LAC,RB,24,13,VidaKi00
Jakobi Meyers,2TM,WR,29,16,MeyeJa01
Spencer Rattler,NOR,QB,25,9,RattSp00
Rashid Shaheed,2TM,WR,27,18,ShahRa00
Rashee Rice,KAN,WR,25,8,RiceRa01
Christian Watson,GNB,WR,26,10,WatsCh00
Dalton Schultz,HOU,TE,29,17,SchuDa00
AJ Barner,SEA,TE,23,17,BarnAJ00
Chuba Hubbard,CAR,RB,26,15,HubbCh01
Khalil Shakir,BUF,WR,25,16,ShakKh00
Jordan Addison,MIN,WR,23,14,AddiJo00
Kayshon Boutte,NWE,WR,23,14,BoutKa00
Aaron Jones,MIN,RB,31,12,JoneAa00
Devin Singletary,NYG,RB,28,17,SingDe00
Brian Thomas,JAX,WR,23,14,ThomBr06
Marquise Brown,KAN,WR,28,16,BrowMa04
Jayden Higgins,HOU,WR,23,17,HiggJa00
