,rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
0,1,Christian McCaffrey,SF,RB,17,0,0,0,1202,10,102,924,7,0,0,0,0,24.5,416.6
1,2,Puka Nacua,LAR,WR,16,0,0,0,105,1,129,1715,10,0,0,0,0,23.4,375
2,3,Bijan Robinson,ATL,RB,17,0,0,0,1478,7,79,820,4,0,0,0,0,21.8,370.8
3,4,Jahmyr Gibbs,DET,RB,17,0,0,0,1223,13,77,616,5,0,0,0,0,21.6,366.9
4,5,Josh Allen,BUF,QB,17,3668,25,10,579,14,0,0,0,0,0,0,0,21.4,364.6
5,6,Jonathan Taylor,IND,RB,17,0,0,0,1585,18,46,378,2,0,0,0,0,21.3,362.3
6,7,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,36,0,119,1793,10,0,0,0,0,21.2,359.9
7,8,Drake Maye,NE,QB,17,4394,31,8,450,4,1,2,0,0,0,0,0,20.7,352
8,9,Matthew Stafford,LAR,QB,17,4707,46,8,1,0,0,0,0,0,0,0,0,20.6,350.4
9,10,Trevor Lawrence,JAX,QB,17,4007,29,12,359,9,0,0,0,0,0,0,0,19.9,338.2
10,11,Amon-Ra St. Brown,DET,WR,17,0,0,0,9,0,117,1401,11,0,0,0,0,19.1,324
11,12,De'Von Achane,MIA,RB,16,0,0,0,1350,8,67,488,4,0,0,0,0,20.2,322.8
12,13,Caleb Williams,CHI,QB,17,3942,27,7,383,3,2,22,1,0,0,0,0,18.7,318.2
13,14,Trey McBride,ARI,TE,17,0,0,0,0,0,126,1239,11,0,0,0,0,18.6,315.9
14,15,Dak Prescott,DAL,QB,17,4552,30,10,177,2,0,0,0,0,0,0,0,18.5,313.8
15,16,Ja'Marr Chase,CIN,WR,16,0,0,0,14,0,125,1412,8,0,0,0,0,19.6,313.6
16,17,Bo Nix,DEN,QB,17,3931,25,11,356,5,0,0,0,0,0,0,0,17.9,304.8
17,18,James Cook III,BUF,RB,17,0,0,0,1621,12,33,291,2,0,0,0,0,17.8,302.2
18,19,Jalen Hurts,PHI,QB,16,3224,25,6,421,8,0,0,0,0,0,0,1,18.7,299.1
19,20,Jared Goff,DET,QB,17,4564,34,8,45,0,0,0,0,0,0,0,0,17.5,297.1
20,21,George Pickens,DAL,WR,17,0,0,0,0,0,93,1429,9,0,0,0,0,17.2,291.9
21,22,Justin Herbert,LAC,QB,16,3727,26,13,498,2,0,0,0,0,0,0,0,17.9,286.9
22,23,Patrick Mahomes,KC,QB,14,3587,22,11,422,5,1,-10,0,0,0,0,0,20.4,285.7
23,24,Chase Brown,CIN,RB,17,0,0,0,1019,6,69,437,5,0,0,0,0,16.6,282.6
24,25,Derrick Henry,BAL,RB,17,0,0,0,1595,16,15,150,0,0,0,0,0,16.4,279.5
25,26,Baker Mayfield,TB,QB,17,3693,26,11,382,1,0,0,0,0,0,0,0,16,271.9
26,27,Chris Olave,NO,WR,16,0,0,1,-3,0,100,1163,9,0,0,0,0,16.8,268
27,28,Kyren Williams,LAR,RB,17,0,0,0,1252,10,36,281,3,0,0,0,0,15.5,263.3
28,29,Travis Etienne Jr.,JAX,RB,17,0,0,0,1107,7,36,292,6,0,0,0,0,14.9,253.9
