"games","player","position","team","points","rush_attempts","rush_ypa","rush_yds","rush_tds","rush_yd_pts","rush_td_pts","receptions","targets","rec_yds","rec_tds","rec_yd_pts","rec_td_pts","fumbles"
17,"Christian McCaffrey","RB","SFO","416.60","311.00","3.86","1202.00","10.00","120.20","60.00","102.00","129.00","924.00","7.00","92.40","42.00","2.00"
16,"Puka Nacua","WR","LAR","375.00","10.00","10.50","105.00","1.00","10.50","6.00","129.00","166.00","1715.00","10.00","171.50","60.00","1.00"
17,"Bijan Robinson","RB","ATL","370.80","287.00","5.15","1478.00","7.00","147.80","42.00","79.00","103.00","820.00","4.00","82.00","24.00","4.00"
17,"Jahmyr Gibbs","RB","DET","366.90","243.00","5.03","1223.00","13.00","122.30","78.00","77.00","94.00","616.00","5.00","61.60","30.00","2.00"
17,"Jonathan Taylor","RB","IND","362.30","323.00","4.91","1585.00","18.00","158.50","108.00","46.00","55.00","378.00","2.00","37.80","12.00","2.00"
17,"Jaxon Smith-Njigba","WR","SEA","359.90","7.00","5.14","36.00","0.00","3.60","0.00","119.00","163.00","1793.00","10.00","179.30","60.00","3.00"
17,"Amon-Ra St. Brown","WR","DET","324.00","3.00","3.00","9.00","0.00","0.90","0.00","117.00","172.00","1401.00","11.00","140.10","66.00","1.00"
16,"De'Von Achane","RB","MIA","322.80","238.00","5.67","1350.00","8.00","135.00","48.00","67.00","85.00","488.00","4.00","48.80","24.00","1.00"
17,"Trey McBride","TE","ARI","315.90","0.00","0.00","0.00","0.00","0.00","0.00","126.00","169.00","1239.00","11.00","123.90","66.00","0.00"
16,"Ja'Marr Chase","WR","CIN","313.60","3.00","4.67","14.00","0.00","1.40","0.00","125.00","185.00","1412.00","8.00","141.20","48.00","1.00"
17,"James Cook","RB","BUF","302.20","309.00","5.25","1621.00","12.00","162.10","72.00","33.00","40.00","291.00","2.00","29.10","12.00","6.00"
17,"George Pickens","WR","DAL","291.90","0.00","0.00","0.00","0.00","0.00","0.00","93.00","137.00","1429.00","9.00","142.90","54.00","4.00"
17,"Chase Brown","RB","CIN","282.60","232.00","4.39","1019.00","6.00","101.90","36.00","69.00","88.00","437.00","5.00","43.70","30.00","2.00"
17,"Derrick Henry","RB","BAL","279.50","307.00","5.20","1595.00","16.00","159.50","96.00","15.00","21.00","150.00","0.00","15.00","0.00","4.00"
16,"Chris Olave","WR","NOR","268.00","1.00","-3.00","-3.00","0.00","-0.30","0.00","100.00","156.00","1163.00","9.00","116.30","54.00","0.00"
17,"Kyren Williams","RB","LAR","263.30","259.00","4.83","1252.00","10.00","125.20","60.00","36.00","50.00","281.00","3.00","28.10","18.00","2.00"
17,"Travis Etienne","RB","JAX","253.90","260.00","4.26","1107.00","7.00","110.70","42.00","36.00","52.00","292.00","6.00","29.20","36.00","1.00"
17,"Ashton Jeanty","RB","LVR","245.10","266.00","3.67","975.00","5.00","97.50","30.00","55.00","73.00","346.00","5.00","34.60","30.00","2.00"
17,"Zay Flowers","WR","BAL","243.30","10.00","6.20","62.00","1.00","6.20","6.00","86.00","118.00","1211.00","5.00","121.10","30.00","3.00"
16,"Javonte Williams","RB","DAL","242.80","252.00","4.77","1201.00","11.00","120.10","66.00","35.00","51.00","137.00","2.00","13.70","12.00","2.00"
15,"Josh Jacobs","RB","GNB","237.10","234.00","3.97","929.00","13.00","92.90","78.00","36.00","44.00","282.00","1.00","28.20","6.00","3.00"
16,"Saquon Barkley","RB","PHI","232.30","280.00","4.07","1140.00","7.00","114.00","42.00","37.00","50.00","273.00","2.00","27.30","12.00","1.00"
16,"D'Andre Swift","RB","CHI","228.60","223.00","4.87","1087.00","9.00","108.70","54.00","34.00","48.00","299.00","1.00","29.90","6.00","2.00"
15,"Nico Collins","WR","HOU","226.20","2.00","7.50","15.00","1.00","1.50","6.00","71.00","120.00","1117.00","6.00","111.70","36.00","1.00"
14,"Davante Adams","WR","LAR","222.90","0.00","0.00","0.00","0.00","0.00","0.00","60.00","114.00","789.00","14.00","78.90","84.00","0.00"
17,"Kenneth Gainwell","RB","PIT","221.30","114.00","4.71","537.00","5.00","53.70","30.00","73.00","85.00","486.00","3.00","48.60","18.00","2.00"
